id,parentId,name,massKg,meanRadiusM,albedo,gm,equatorialRadiusM,densityKgM3,siderealRotationPeriodS,orbitRotationPeriodS,equatorialGravity,escapeVelocityM
631,6,Mundilfari,209813580633607.1,3500.0,0.06,14000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
632,6,Albiorix,2.09813580633607e+016,16000.0,0.06,1400000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
633,6,Skathi,314720370950410.6,4000.0,0.06,21000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
634,6,Erriapus,764320900879568.5,5000.0,0.06,51000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
635,6,Siarnaq,3.896537926052702e+016,20000.0,0.06,2600000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
636,6,Thrymr,209813580633607.1,3500.0,0.06,14000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
637,6,Narvi,344693739612354.4,3500.0,0.04,23000.0,0.0,2300.0,0.0,0.0,0.0,0.0,
638,6,Aegir,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
639,6,Bebhionn,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
640,6,Bergelmir,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
641,6,Bestla,0.0,3500.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
642,6,Farbauti,0.0,2500.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
643,6,Fenrir,0.0,2000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
644,6,Fornjot,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
645,6,Hati,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
646,6,Hyrrokkin,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
647,6,Kari,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
648,6,Loge,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
649,6,Skoll,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
650,6,Surtur,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
651,6,Jarnsaxa,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
652,6,Greip,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
653,6,Tarqeq,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
654,6,S/2004 S7,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
655,6,S/2004 S12,0.0,2500.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
656,6,S/2004 S13,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
657,6,S/2004 S17,0.0,2000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
658,6,S/2006 S1,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
659,6,S/2006 S3,0.0,2500.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
660,6,S/2007 S2,0.0,3000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
661,6,S/2007 S3,0.0,2000.0,0.04,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,
701,7,Ariel,1.294849526195975e+021,578900.0,0.39,86400000000.0,0.0,1592.0,0.0,0.0,0.0,0.0,
702,7,Umbriel,1.221414772974212e+021,584700.0,0.21,81500000000.0,0.0,1459.0,0.0,0.0,0.0,0.0,
703,7,Titania,3.419961364327795e+021,788900.0,0.27,228200000000.0,0.0,1662.0,0.0,0.0,0.0,0.0,
704,7,Oberon,2.883438065279e+021,761400.0,0.23,192400000000.0,0.0,1559.0,0.0,0.0,0.0,0.0,
705,7,Miranda,6.594141105627651e+019,235800.0,0.32,4400000000.0,0.0,1214.0,0.0,0.0,0.0,0.0,
706,7,Cordelia,4.49600529929158e+016,20100.0,0.07000000000000001,3000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
707,7,Ophelia,5.395206359149895e+016,21400.0,0.07000000000000001,3600000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
708,7,Bianca,9.291744285202598e+016,27000.0,0.065,6200000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
709,7,Cressida,3.431950711792572e+017,41000.0,0.06900000000000001,22900000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
710,7,Desdemona,1.78341543538566e+017,35000.0,0.08400000000000001,11900000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
711,7,Juliet,5.575046571121559e+017,53000.0,0.075,37200000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
712,7,Portia,1.681505981935051e+018,70000.0,0.06900000000000001,112200000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
713,7,Rosalind,2.547736336265229e+017,36000.0,0.072,17000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
714,7,Belinda,3.56683087077132e+017,45000.0,0.067,23800000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
715,7,Puck,2.89392874431068e+018,81000.0,0.104,193100000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
716,7,Caliban,2.997336866194387e+017,36000.0,0.04,20000000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
717,7,Sycorax,2.697603179574948e+018,75000.0,0.04,180000000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
718,7,Prospero,9.891211658441475e+016,25000.0,0.04,6600000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
719,7,Setebos,8.69227691196372e+016,24000.0,0.04,5800000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
720,7,Stephano,2.547736336265228e+016,16000.0,0.04,1700000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
721,7,Trinculo,4645872142601299.0,9000.0,0.04,310000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
722,7,Francisco,8392543225344282.0,11000.0,0.04,560000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
723,7,Margaret,6294407419008211.0,10000.0,0.04,420000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
724,7,Ferdinand,6294407419008211.0,10000.0,0.04,420000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
725,7,Perdita,1.798402119716632e+016,13000.0,0.07000000000000001,1200000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
726,7,Mab,8992010598583159.0,12000.0,0.103,600000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
727,7,Cupid,2997336866194387.0,9000.0,0.07000000000000001,200000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
801,8,Triton,2.139499055089553e+022,1353400.0,0.719,1427600000000.0,0.0,2059.0,0.0,0.0,0.0,0.0,
802,8,Nereid,3.087256972180218e+019,170000.0,0.155,2060000000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
803,8,Naiad,1.948268963026351e+017,33000.0,0.072,13000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
804,8,Thalassa,3.746671082742983e+017,41000.0,0.091,25000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
805,8,Despina,2.09813580633607e+018,75000.0,0.09,140000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
806,8,Galatea,3.746671082742983e+018,88000.0,0.079,250000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
807,8,Larissa,4.945605829220738e+018,97000.0,0.091,330000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
808,8,Proteus,5.03552593520657e+019,210000.0,0.096,3360000000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
809,8,Halimede,1.798402119716632e+017,31000.0,0.04,12000000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
810,8,Psamathe,4.945605829220738e+016,20000.0,0.04,3300000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
811,8,Sao,6.74400794893737e+016,22000.0,0.04,4500000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
812,8,Laomedeia,5.844806889079054e+016,21000.0,0.04,3900000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
813,8,Neso,1.648535276406913e+017,30000.0,0.04,11000000.0,0.0,1500.0,0.0,0.0,0.0,0.0,
814,8,S/2004 N1,4496005299291580.0,9000.0,0.1,300000.0,0.0,1300.0,0.0,0.0,0.0,0.0,
901,9,Charon,1.533137807058429e+021,603600.0,0.372,102300000000.0,0.0,1664.0,0.0,0.0,0.0,0.0,
902,9,Nix,1.948268963026351e+016,23000.0,0.35,1300000.0,0.0,2100.0,0.0,0.0,0.0,0.0,
903,9,Hydra,9.741344815131755e+016,30500.0,0.35,6500000.0,0.0,800.0,0.0,0.0,0.0,0.0,
904,9,Kerberos,1.648535276406913e+016,14000.0,0.35,1100000.0,0.0,1400.0,0.0,0.0,0.0,0.0,
905,9,Styx,0.0,10000.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000001,0,Ceres,9.385920609538426e+020,469700.0,0.09,62628400000.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000002,0,Pallas,2.143095859328986e+020,272500.0,0.101,14300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000003,0,Juno,0.0,123298.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000004,0,Vesta,2.667629810913004e+020,262700.0,0.4228,17800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
